,SAHMREALTIME,Gold_Price_Monthly_Avg,total_events,conflict_war_count,econ_policy_count,government_political_count,civil_unrest_protest_count,diplomatic_relations_count,avg_goldstein_scale,avg_tone,pandemic_event,covid_event,disaster_any,disaster_flood,disaster_storm,disaster_wildfire,disaster_eq,disaster_drought
2000-01-01,-0.03,284.992380952381,0,0,0,0,0,0,0.0,0.0,1,0,1,1,1,1,1,1
2000-02-01,0.0,300.48904761904765,0,0,0,0,0,0,0.0,0.0,0,0,1,1,1,1,1,1
2000-03-01,0.0,286.1586956521739,0,0,0,0,0,0,0.0,0.0,0,0,1,1,1,0,0,1
2000-04-01,-0.03,280.142,0,0,0,0,0,0,0.0,0.0,0,0,1,1,1,1,0,1
2000-05-01,0.0,275.03869565217394,0,0,0,0,0,0,0.0,0.0,0,0,1,1,1,1,1,1
2000-06-01,-0.03,286.2481818181818,0,0,0,0,0,0,0.0,0.0,0,0,1,1,1,1,1,1
2000-07-01,0.03,281.57142857142856,0,0,0,0,0,0,0.0,0.0,0,0,1,1,1,1,1,1
2000-08-01,0.03,274.6847826086956,0,0,0,0,0,0,0.0,0.0,0,0,1,1,1,1,1,1
2000-09-01,0.0,273.73571428571427,0,0,0,0,0,0,0.0,0.0,0,0,1,1,1,1,1,1
2000-10-01,-0.03,270.1727272727273,0,0,0,0,0,0,0.0,0.0,0,0,1,1,1,1,1,1
2000-11-01,-0.03,266.03409090909093,0,0,0,0,0,0,0.0,0.0,0,0,1,1,1,0,1,1
2000-12-01,0.03,272.1642857142857,0,0,0,0,0,0,0.0,0.0,0,0,1,1,1,1,1,1
2001-01-01,0.13,265.67045454545456,0,0,0,0,0,0,0.0,0.0,1,0,1,1,1,0,1,1
2001-02-01,0.2,262.24,0,0,0,0,0,0,0.0,0.0,0,0,1,1,1,0,1,1
2001-03-01,0.3,263.0468181818182,0,0,0,0,0,0,0.0,0.0,0,0,1,1,1,0,1,1
2001-04-01,0.4,261.1,0,0,0,0,0,0,0.0,0.0,0,0,1,1,1,1,1,1
2001-05-01,0.47,272.3804347826087,0,0,0,0,0,0,0.0,0.0,0,0,1,1,1,1,1,1
2001-06-01,0.53,271.04285714285714,0,0,0,0,0,0,0.0,0.0,0,0,1,1,1,0,1,1
2001-07-01,0.53,267.81363636363636,0,0,0,0,0,0,0.0,0.0,0,0,1,1,1,0,1,1
2001-08-01,0.7,273.0934782608696,0,0,0,0,0,0,0.0,0.0,0,0,1,1,1,1,1,1
2001-09-01,0.83,283.885,0,0,0,0,0,0,0.0,0.0,0,0,1,1,1,1,0,1
2001-10-01,1.13,283.03869565217394,0,0,0,0,0,0,0.0,0.0,0,0,1,1,1,1,1,1
2001-11-01,1.4,276.02500000000003,0,0,0,0,0,0,0.0,0.0,0,0,1,1,1,0,0,1
2001-12-01,1.63,276.51428571428573,0,0,0,0,0,0,0.0,0.0,0,0,1,1,1,1,1,1
2002-01-01,1.6,282.01363636363635,0,0,0,0,0,0,0.0,0.0,0,0,1,1,1,1,1,1
2002-02-01,1.5,296.2725,0,0,0,0,0,0,0.0,0.0,0,0,1,1,1,1,1,1
2002-03-01,1.37,294.9152380952381,0,0,0,0,0,0,0.0,0.0,0,0,1,1,1,1,1,1
2002-04-01,1.4,303.34318181818185,0,0,0,0,0,0,0.0,0.0,0,0,1,1,1,1,1,1
2002-05-01,1.43,314.94652173913045,0,0,0,0,0,0,0.0,0.0,0,0,1,1,1,1,1,1
2002-06-01,1.4,321.147,0,0,0,0,0,0,0.0,0.0,0,0,1,1,1,1,1,1
2002-07-01,1.33,313.3804347826087,0,0,0,0,0,0,0.0,0.0,0,0,1,1,1,1,0,1
2002-08-01,1.13,310.59318181818185,0,0,0,0,0,0,0.0,0.0,0,0,1,1,1,1,1,1
2002-09-01,0.9,319.51190476190476,0,0,0,0,0,0,0.0,0.0,0,0,1,1,1,1,1,1
2002-10-01,0.57,316.5108695652174,0,0,0,0,0,0,0.0,0.0,0,0,1,1,1,1,1,1
2002-11-01,0.43,319.3619047619048,0,0,0,0,0,0,0.0,0.0,0,0,1,1,1,1,1,1
2002-12-01,0.3,335.54318181818184,0,0,0,0,0,0,0.0,0.0,0,0,1,1,1,1,1,1
2003-01-01,0.23,358.20681818181816,0,0,0,0,0,0,0.0,0.0,0,0,1,1,1,1,1,1
2003-02-01,0.2,357.853,0,0,0,0,0,0,0.0,0.0,0,0,1,1,1,1,1,1
